|player_id|player_name|player_preferred_position|player_preferred_number|player_minutes|wavg_player_rating|offsides|shots_total|shots_on_goal|goals_total|goals_conceded|goals_assists|goals_saves|passes_total|passes_key|passes_completed|tackles_total|tackles_blocks|tackles_interceptions|tackles_total_padj|tackles_blocks_padj|tackles_interceptions_padj|duels_total|duels_won|dribbles_attemps|dribbles_success|dribbles_past|dribbles_past_padj|fouls_drawn|fouls_committed|fouls_committed_padj|cards_yellow|cards_red|penalty_won|penalty_committed|penalty_scored|penalty_missed|penalty_saved
2598|12010|Alessandro Rizzoli|M|15|405|6.827407407407407|1|5|0|0|0|1|0|87|6|39.03999999999999|5|0|1|5.814571665244861|0.0|1.1627906976744187|19|10|10|4|2|2.0202020202020203|11|8|9.310643829705239|1|0|0|0|0|0|0
2599|12018|Vicente Duran|D|24|1966|6.818469387755101|1|6|3|0|0|0|0|668|9|63.88999999999999|52|5|43|55.04812623350299|5.422895902547066|43.79605423233434|186|78|14|7|22|23.60362606087635|21|43|43.21461408241946|6|0|0|0|0|0|0
2600|12021|Fabian Hormazabal|F|7|1505|6.956212624584716|1|20|13|4|0|0|0|381|17|100.32999999999998|35|1|19|36.2357191583367|0.9090909090909091|20.341454411221854|132|56|56|31|7|6.651559388629439|26|27|26.791132939567404|2|0|0|1|0|0|0
2601|12025|Pablo Vranjican|F|27|1226|6.723001631321371|0|31|15|5|0|1|0|147|6|98.07000000000001|1|5|3|1.0204081632653061|5.734212190818602|2.788480396808827|222|88|18|8|11|13.137691144101643|38|50|56.03052905876258|5|0|0|0|1|0|0
2602|12036|Lukas Soza|D|2|992|6.790120967741935|1|1|1|0|0|1|0|387|6|17.409999999999997|40|2|22|42.941860755596736|2.0869565217391304|24.0400542705503|122|67|3|3|12|12.52363974572513|14|23|22.88153550051449|2|0|0|1|0|0|0
2603|12041|Kevin Egana|M|3|317|6.830599369085174|0|4|1|0|0|1|0|90|5|64.42999999999999|1|0|5|1.282051282051282|0.0|5.1991113741419746|28|18|4|4|1|0.8771929824561404|7|6|6.92966763958196|2|0|0|0|0|0|0
2604|12054|Ronald Gonzalez|M|33|789|7.070812182741117|0|21|13|1|0|1|0|322|12|94.61|11|0|6|9.409812294987756|0.0|5.927393525777476|92|47|20|14|4|4.086956521739131|12|9|8.793783071111832|4|1|0|0|0|0|0
2605|12056|Camilo Ponce|F|21|319|6.518808777429467|0|10|2|0|0|0|0|57|4|41.75|1|1|0|1.0869565217391304|1.0869565217391304|0.0|43|18|2|1|0|0.0|7|5|4.202302631578948|0|0|0|0|0|0|0
2606|12058|Maximiliano Quinteros|F|16|1047|6.787440076701822|3|37|16|4|0|1|0|259|10|43.68000000000001|5|0|3|6.3419794045351585|0.0|4.091591591591591|88|22|30|13|10|11.4211557208907|8|13|14.519567334339907|0|0|0|0|0|0|0
2607|12060|Francisco Sasmay|F|26|234|6.569658119658119|0|2|0|0|0|0|0|27|0|18.229999999999997|0|0|2|0.0|0.0|2.2774327122153206|36|19|6|3|3|3.3190993788819876|4|6|6.579968944099379|0|0|0|0|0|0|0
2608|12062|Jose Gamonal|G|25|2706|6.86430155210643|0|0|0|0|45|0|117|485|0|301.63|0|0|4|0.0|0.0|4.480381760339342|14|14|1|1|0|0.0|8|0|0.0|2|0|0|0|0|0|2
2609|12063|Guillermo Orellana|G|25|606|6.588778877887789|0|1|0|0|11|0|14|165|0|23.46|0|0|0|0.0|0.0|0.0|3|3|0|0|2|2.5625|0|0|0.0|0|0|0|0|0|0|0
2610|12065|Luis Casanova|D|17|3864|6.96583850931677|2|21|7|0|0|1|0|1426|4|399.49|60|18|89|60.98842828828895|19.365647843746512|94.38580635271416|362|241|33|25|16|17.096458316723673|67|51|52.95295048879942|7|2|0|2|0|0|0
2611|12068|Guillermo Diaz|D|17|420|6.5390476190476186|0|2|0|0|0|0|0|113|9|87.91|8|1|5|9.186590765338394|1.6129032258064517|4.749266862170089|78|40|12|5|3|3.5932953826691967|16|12|11.882352941176471|2|1|0|0|0|0|0
2612|12070|Joaquin Gutierrez|D|27|1849|6.753704705246079|0|4|1|1|0|1|0|576|12|8.709999999999999|30|1|28|30.99336889506705|0.8064516129032259|28.42004968575888|115|57|22|11|14|14.623164950801549|4|17|17.9575910798403|1|0|0|0|0|0|0
2613|12071|Rodin Quinones|F|17|2737|6.620898794300328|0|58|14|8|0|5|0|583|20|428.4699999999999|2|0|17|2.1167557932263814|0.0|17.28950722259795|398|182|138|67|20|19.50067786165932|62|41|38.90056922864561|6|0|1|0|0|0|0
2614|12072|Cristobal Vergara|D|3|2070|7.034782608695652|0|5|2|0|0|2|0|689|6|547.96|17|21|79|16.93685017179436|22.655221469039386|81.21459118192152|189|116|5|3|18|19.193680618104935|26|11|11.352491522050165|3|0|0|0|0|0|0
2615|12075|Yerko Aguila|D|5|846|6.768794326241134|0|4|0|0|0|0|0|271|8|209.20000000000002|17|1|27|15.477699443452561|0.9090909090909091|25.61006758270231|104|55|16|6|9|8.47382874973037|9|10|9.823603714581157|0|0|0|0|0|0|0
2616|12076|Joaquin Aros|M|21|668|6.688772455089819|0|6|1|0|0|0|0|210|5|156.83999999999997|9|1|17|8.871399844793029|0.8474576271186441|16.31717076489901|48|21|4|2|7|6.745420304742339|5|8|7.512535141377937|0|1|0|0|0|0|0
2617|12077|Ruben Cepeda|M|33|1345|6.540223048327138|0|6|1|0|0|0|0|491|2|410.96|12|2|20|12.077661141869457|2.128623188405797|22.49387589216214|138|59|11|5|33|37.79681738360139|16|17|19.5285343030571|2|0|0|0|0|0|0
2618|12078|Sebastian Diaz|M|18|648|6.826697530864197|0|6|1|0|0|0|0|206|3|162.59|16|3|12|17.769912839304194|3.517316017316017|13.028147292156532|111|67|8|6|7|7.663166127205635|24|23|24.969188854339972|3|0|0|0|0|0|0
2619|12079|Leonardo Espinoza|F|9|432|6.89837962962963|0|11|4|3|0|1|0|123|6|87.11000000000001|1|0|2|1.1627906976744187|0.0|1.9049346879535558|96|32|14|10|3|3.478955904831915|7|14|14.54784995040537|1|0|0|0|0|0|0
2620|12081|Johan Fuentes|M|28|495|6.7272727272727275|0|15|1|0|0|0|0|200|9|155.25|4|0|3|4.136904761904762|0.0|3.2819794584500466|54|20|2|2|3|3.3059735522115825|7|15|15.941716362372997|2|0|0|0|0|0|0
